time,odom_x,odom_y,fused_x,fused_y,lidar_avg
1763896900576,0.744303,-0.480026,0.744325,-0.480039,
1763896900611,0.744304,-0.480026,0.744325,-0.480039,
1763896900664,0.744306,-0.480026,0.744325,-0.480038,
1763896900710,0.744307,-0.480026,0.744325,-0.480037,
1763896900753,0.744308,-0.480025,0.744325,-0.480037,
1763896900792,0.744309,-0.480025,0.744326,-0.480036,
1763896900834,0.74431,-0.480025,0.744326,-0.480035,
1763896900874,0.744312,-0.480025,0.744327,-0.480035,
1763896900921,0.744313,-0.480025,0.744327,-0.480034,
1763896900957,0.744314,-0.480025,0.744328,-0.480034,
1763896900990,0.744315,-0.480025,0.744328,-0.480033,
1763896901027,0.744316,-0.480025,0.744329,-0.480033,
1763896901075,0.744318,-0.480025,0.744329,-0.480032,
1763896901114,0.744319,-0.480025,0.74433,-0.480032,
1763896901156,0.74432,-0.480025,0.744331,-0.480032,
1763896901197,0.744321,-0.480025,0.744331,-0.480031,
1763896901241,0.744322,-0.480025,0.744332,-0.480031,
1763896901282,0.744324,-0.480025,0.744333,-0.480031,
1763896901315,0.744325,-0.480025,0.744333,-0.48003,
1763896901370,0.744326,-0.480025,0.744334,-0.48003,
1763896901411,0.744327,-0.480025,0.744335,-0.48003,
1763896901444,0.744328,-0.480024,0.744336,-0.480029,
1763896901481,0.74433,-0.480024,0.744337,-0.480029,
1763896901524,0.744331,-0.480024,0.744338,-0.480029,
1763896901565,0.744332,-0.480024,0.744338,-0.480028,
1763896901611,0.744333,-0.480024,0.744339,-0.480028,
1763896901653,0.744334,-0.480024,0.74434,-0.480028,
1763896901700,0.744336,-0.480024,0.744341,-0.480028,
1763896901748,0.744337,-0.480024,0.744342,-0.480028,
1763896901780,0.744338,-0.480024,0.744343,-0.480027,
1763896901826,0.744339,-0.480024,0.744344,-0.480027,
1763896901885,0.74434,-0.480024,0.744345,-0.480027,
1763896901927,0.744342,-0.480024,0.744346,-0.480027,
1763896901979,0.744343,-0.480024,0.744347,-0.480027,
1763896902030,0.744344,-0.480024,0.744348,-0.480026,
1763896902070,0.744345,-0.480024,0.744349,-0.480026,
