x,y
0.744324875506201,-0.4800379712947561
0.7443250845103545,-0.4800373601854622
0.7443253968692523,-0.48003672787150836
0.7443257709128316,-0.4800360565346522
0.7443270633577058,-0.48003419978174655
0.7443281326585893,-0.4800331673521808
0.7443305761795096,-0.4800316169754605
0.7443326440477603,-0.4800306444162774
0.7443341206767469,-0.48003001820830515
0.7443357755491956,-0.480029308724882
0.7443375264873019,-0.4800286689098376
0.7443402275761675,-0.4800279716395529
0.7443428952039652,-0.48002744091074273
0.7443458101229214,-0.48002684784219
0.7443488212021419,-0.48002634570460423
0.7443518327308903,-0.48002578830273457
0.744353889305891,-0.4800255592323987
0.7443571284337147,-0.4800252758709334
0.7443604100736498,-0.4800247128722288
0.7443636690757472,-0.4800243104830958
0.7443669909273116,-0.48002415144056076
0.7443714242557276,-0.480023752621492
0.7443736988369278,-0.4800235767132158
0.7443795049083949,-0.4800232017842591
0.7443829818896998,-0.48002290894065525
0.7443853001411443,-0.4800228419530403
0.7443899588571968,-0.4800225496818422
0.744392263456492,-0.4800224469674847
0.744395831637569,-0.48002237143523374
0.7443981350212069,-0.48002221547442253
0.7444016230175357,-0.4800220383339367
0.7444051548978575,-0.4800219370559158
0.7444099928586742,-0.4800215681390768
0.7444123754960027,-0.4800213514010004
0.7444158590731748,-0.4800213384456647
0.7444181975579421,-0.4800213483948266
0.7444230333100909,-0.4800210454818577
0.7444265872065665,-0.48002078819060967
0.7444288742209039,-0.48002072074289726
0.7444337314711351,-0.4800206086999658
0.7444373147903208,-0.48002042085747076
0.7444409095014195,-0.48002029001851143
0.7444444017249383,-0.48002023739775224
0.7444480457869662,-0.4800201254982192
0.7444516318887557,-0.4800200037409053
0.7444551705304726,-0.4800198050075738
0.7444574950519701,-0.480019669616105
0.7444623528503145,-0.4800196758631928
0.7444646917331174,-0.4800194250174452
0.7444695754380273,-0.4800190136709032
0.744473156059294,-0.48001909335415094
0.744475415008123,-0.4800190357531126
0.7444790102176756,-0.48001867443079493
0.7444827410963241,-0.4800187990159019
0.7444861756002714,-0.4800185938719709
0.7444898562143667,-0.4800182200297381
0.7444935247310005,-0.48001822645615905
0.7444982137705429,-0.48001816176033174
0.7445017920821405,-0.48001793863136855
0.744505418347855,-0.4800177833957858
0.7445089865655894,-0.480017748173639
0.7445125903524495,-0.4800177184376945
0.7445172771621467,-0.48001720948726745
0.7445197932258667,-0.4800171757964769
0.7445233960592318,-0.48001714417094266
0.7445256907813222,-0.48001704903413855
0.7445292358197744,-0.48001677664121367
0.7446366387882197,-0.48001275955594425
0.7453757801822963,-0.47998472916041635
0.7464066865588681,-0.4799452427680408
0.7474511481257032,-0.4799054864285673
0.7481462000909987,-0.4798790910934895
0.7491976016755605,-0.47983888302164046
0.7508951589569411,-0.47977387064430493
0.754882019421875,-0.479621992274342
0.760035904680536,-0.4794252799385936
0.7661414920269718,-0.4791925929373845
0.7705417602619005,-0.4790247840567393
0.775275754666078,-0.4788438831921043
0.7827648556840826,-0.47855832512343144
0.791031798238503,-0.47824306693607577
0.7968521038943451,-0.4780207179326944
0.809389381120568,-0.4775425374614407
0.8229627589532145,-0.477024741604593
0.8345205692933255,-0.47658345878884373
0.8433296998187585,-0.4762474706260601
0.8579622502917276,-0.4756892846620826
0.868585779589282,-0.47528381477712994
0.8786741413530164,-0.4748987786181698
0.8953523807385116,-0.4742623418398578
