x,y
0.7443067273546862,-0.48002554943440506
0.7443079687237122,-0.4800254646986418
0.7443092039378408,-0.48002530480887873
0.7443104321291252,-0.4800251634691054
0.7443139874457183,-0.48002488537099525
0.7443176323181172,-0.4800247388914856
0.7443211734112851,-0.4800248616577002
0.7443246785675135,-0.4800247624414525
0.7443270900325684,-0.48002457629405376
0.744329600824052,-0.48002437516931923
0.7443332220670263,-0.4800242418493393
0.7443355951990014,-0.4800242488292163
0.7443402810738015,-0.4800241363932436
0.7443427638132999,-0.48002401829059427
0.7443462992751031,-0.48002392374630043
0.7443498268424359,-0.4800237166937395
0.7443534426426376,-0.48002374268182546
0.7443571050869592,-0.48002340429362494
0.7443594264770451,-0.4800232182024163
0.7443630323138413,-0.480023135532691
0.7443677522451327,-0.48002308943428146
0.7443713437644968,-0.4800228565804142
0.7443750554216213,-0.48002280903947947
0.7443797681272,-0.48002250715701217
0.7443834119415298,-0.4800224061824354
0.7443869590074937,-0.48002233890580576
0.7443905604059372,-0.480022131975111
0.7443929166682636,-0.48002211687249685
0.7443965617037809,-0.48002203822362793
0.7444000403050303,-0.4800218445275884
0.7444036850307406,-0.480021771622253
0.7444073109603442,-0.48002166022340087
0.7444109352327882,-0.4800212393321341
0.7444133395700322,-0.48002121057534414
0.7444168212937473,-0.4800212868090323
0.7444203967354175,-0.480021108395106
0.7444241451138717,-0.4800208273418737
0.7444275847165922,-0.48002068576821977
0.7444312023969477,-0.4800206745570794
0.744436037409821,-0.4800204121196574
0.7444396456522865,-0.48002027994708146
0.7444431194674286,-0.48002022015029905
0.7444468140673216,-0.4800201398508887
0.7444503586785242,-0.48002001301340763
0.7444539755789877,-0.4800198732575275
0.7444562529005291,-0.4800196795937473
0.7444599403424499,-0.4800196737560973
0.7444634975309031,-0.48001957914233095
0.7444670374107408,-0.4800190499236888
0.7444708184616217,-0.4800190759107119
0.7444742285918812,-0.48001912534501384
0.7444777852711183,-0.480018723844115
0.7444803076920034,-0.48001865457559656
0.744483872437797,-0.48001885079850265
0.7444886212804652,-0.4800182668574364
0.7444911277556417,-0.48001821288665825
0.7444946828337999,-0.48001823290920054
0.7445005543399089,-0.48001800414289975
0.7445042113455331,-0.4800178070241856
0.7445065833270689,-0.4800177800005419
0.7445114196410613,-0.4800177443331151
0.7445148777489825,-0.48001736797422523
0.7445185263631928,-0.4800171948373923
0.7445222306370425,-0.4800171745782973
0.7445245022018182,-0.4800171143533906
0.7445268436665607,-0.4800169191652662
0.744530475096797,-0.4800167701800446
