x,y,z,yaw
24.2,28.1,0.5,180.00
23.2,28.1,0.5,180.00
14.2,28.1,0.5,180.00
13.2,28.1,0.5,180.00
12.2,28.1,0.5,180.00
11.2,28.1,0.5,180.00
10.2,28.1,0.5,180.00
9.2,28.1,0.5,180.00
8.2,28.1,0.5,180.00
7.2,28.1,0.5,180.00
6.2,28.1,0.5,180.00
5.2,28.1,0.5,180.00
4.2,28.1,0.5,180.00
3.2,28.1,0.5,180.00
2.2,28.1,0.5,180.00
1.2,28.1,0.5,180.00
0.2,28.1,0.5,180.00
-0.8,28.1,0.5,180.00
-1.8,28.1,0.5,180.00
-2.8,28.1,0.5,180.00
-3.8,28.1,0.5,180.00
-4.8,28.1,0.5,180.00
-5.8,28.1,0.5,180.00
-6.8,28.1,0.5,180.00
-7.8,28.1,0.5,180.00
-8.8,28.1,0.5,180.00
-9.8,28.1,0.5,180.00
-10.8,28.1,0.5,180.00
-11.8,28.1,0.5,180.00
-12.8,28.1,0.5,180.00
-13.8,28.1,0.5,180.00
-14.8,28.1,0.5,180.00
-22.8,28.1,0.5,180.00
-23.8,28.1,0.5,180.00
-24.8,28.1,0.5,180.00
-25.8,28.1,0.5,180.00
-26.8,28.1,0.5,180.00
-27.8,28.1,0.5,180.00
-28.8,28.1,0.5,180.00
-29.8,28.1,0.5,180.00
-30.8,28.1,0.5,180.00
-31.8,28.1,0.5,180.00
-32.8,28.1,0.5,180.00
-33.8,28.1,0.5,180.00
-34.8,28.1,0.5,180.00
-35.8,28.1,0.5,180.00
-36.8,28.1,0.5,180.00
-37.2,-5.6,0.5,-90.85
-36.2,-5.6,0.5,0.00
-35.2,-5.6,0.5,0.00
-34.2,-5.6,0.5,0.00
-33.2,-5.6,0.5,0.00
-32.2,-5.6,0.5,0.00
-31.2,-5.6,0.5,0.00
-30.2,-5.6,0.5,0.00
-29.2,-5.6,0.5,0.00
-28.2,-5.6,0.5,0.00
-9.2,-5.6,0.5,0.00
-8.2,-5.6,0.5,0.00
-7.2,-5.6,0.5,0.00
-6.2,-5.6,0.5,0.00
-5.2,-5.6,0.5,0.00
-4.2,-5.6,0.5,0.00
-3.2,-5.6,0.5,0.00
-2.2,-5.6,0.5,0.00
-1.2,-5.6,0.5,0.00
-0.2,-5.6,0.5,0.00
0.8,-5.6,0.5,0.00
1.8,-5.6,0.5,0.00
2.8,-5.6,0.5,0.00
3.8,-5.6,0.5,0.00
4.8,-5.6,0.5,0.00
5.8,-5.6,0.5,0.00
6.8,-5.6,0.5,0.00
7.8,-5.6,0.5,0.00
8.8,-5.6,0.5,0.00
9.8,-5.6,0.5,0.00
10.8,-5.6,0.5,0.00
11.8,-5.6,0.5,0.00
12.8,-5.6,0.5,0.00
13.8,-5.6,0.5,0.00
14.8,-5.6,0.5,0.00
22.8,-5.6,0.5,0.00
23.8,-5.6,0.5,0.00
24.8,-5.6,0.5,0.00
25.8,-5.6,0.5,0.00
26.8,-5.6,0.5,0.00
27.8,-5.6,0.5,0.00
28.8,-5.6,0.5,0.00
29.8,-5.6,0.5,0.00
30.8,-5.6,0.5,0.00
31.8,-5.6,0.5,0.00
32.8,-5.6,0.5,0.00
33.8,-5.6,0.5,0.00
34.8,-5.6,0.5,0.00
35.8,-5.6,0.5,0.00
36.8,-5.6,0.5,0.00
37.2,-1.9,0.5,82.39
36.2,-1.9,0.5,180.00
35.2,-1.9,0.5,180.00
34.2,-1.9,0.5,180.00
33.2,-1.9,0.5,180.00
32.2,-1.9,0.5,180.00
31.2,-1.9,0.5,180.00
30.2,-1.9,0.5,180.00
29.2,-1.9,0.5,180.00
28.2,-1.9,0.5,180.00
27.2,-1.9,0.5,180.00
26.2,-1.9,0.5,180.00
25.2,-1.9,0.5,180.00
24.2,-1.9,0.5,180.00
23.2,-1.9,0.5,180.00
14.2,-1.9,0.5,180.00
13.2,-1.9,0.5,180.00
12.2,-1.9,0.5,180.00
11.2,-1.9,0.5,180.00
10.2,-1.9,0.5,180.00
9.2,-1.9,0.5,180.00
8.2,-1.9,0.5,180.00
7.2,-1.9,0.5,180.00
6.2,-1.9,0.5,180.00
5.2,-1.9,0.5,180.00
4.2,-1.9,0.5,180.00
3.2,-1.9,0.5,180.00
2.2,-1.9,0.5,180.00
1.2,-1.9,0.5,180.00
