step,x,y,z,yaw,lane_id,segment_id,parent_segment_id,lane_side,direction,direction_group,connect_next
1,-40.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
2,-39.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
3,-39.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
4,-38.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
5,-38.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
6,-37.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
7,-37.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
8,-36.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
9,-36.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
10,-35.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
11,-35.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
12,-34.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
13,-34.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
14,-33.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
15,-33.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
16,-32.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
17,-32.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
18,-31.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
19,-31.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
20,-30.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
21,-30.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
22,-29.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
23,-29.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
24,-28.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
25,-28.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
26,-27.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
27,-27.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
28,-26.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
29,-26.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
30,-25.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
31,-25.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
32,-24.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
33,-24.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
34,-23.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
35,-23.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
36,-22.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
37,-22.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
38,-21.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
39,-21.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
40,-20.500,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,1
41,-20.000,46.500,0.500,0.000,H_y48.0_x-40.0_-20.0_forward_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,forward,forward_right,0
42,-20.000,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
43,-20.500,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
44,-21.000,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
45,-21.500,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
46,-22.000,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
47,-22.500,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
48,-23.000,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
49,-23.500,49.500,0.500,180.000,H_y48.0_x-40.0_-20.0_reverse_right,H_y48.0_x-40.0_-20.0,H_y48.0_x-40.0_-20.0,right,reverse,reverse_right,1
