step,x,y,z,yaw,lane_id,direction_group,segment_id,parent_segment_id,lane_side,direction,connect_next
32,-41.500,32.500,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
33,-41.500,32.000,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
34,-41.500,31.500,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
35,-41.500,31.000,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
36,-41.500,30.500,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
37,-41.500,30.000,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
38,-41.500,29.500,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
39,-41.500,29.000,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
40,-41.500,28.500,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
41,-41.500,28.000,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
42,-41.500,27.500,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
43,-41.500,27.000,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
44,-41.500,26.500,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
45,-41.500,26.000,0.500,-90.000,V_x-40.0_y26.0_48.0_forward_right,forward_right,V_x-40.0_y26.0_48.0,V_x-40.0_y26.0_48.0,right,forward,1
46,-41.500,25.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
47,-41.500,25.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
48,-41.500,24.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
49,-41.500,24.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
50,-41.500,23.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
51,-41.500,23.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
52,-41.500,22.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
53,-41.500,22.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
54,-41.500,21.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
55,-41.500,21.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
56,-41.500,20.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
57,-41.500,20.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
58,-41.500,19.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
59,-41.500,19.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
60,-41.500,18.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
61,-41.500,18.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
62,-41.500,17.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
63,-41.500,17.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
64,-41.500,16.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
65,-41.500,16.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
66,-41.500,15.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
67,-41.500,15.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
68,-41.500,14.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
69,-41.500,14.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
70,-41.500,13.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
71,-41.500,13.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
72,-41.500,12.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
73,-41.500,12.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
74,-41.500,11.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
