index,x,y,yaw
177,-9.5000,-3.7500,0.000000
178,-8.5000,-3.7500,0.000000
179,-7.5000,-3.7500,0.000000
180,-6.5000,-3.7500,0.000000
181,-5.5000,-3.7500,0.000000
182,-4.5000,-3.7500,0.000000
183,-3.5000,-3.7500,0.000000
184,-2.5000,-3.7500,0.000000
185,-1.5000,-3.7500,0.000000
186,-0.5000,-3.7500,0.000000
187,0.5000,-3.7500,0.000000
188,1.5000,-3.7500,0.000000
189,2.5000,-3.7500,0.000000
190,3.5000,-3.7500,0.000000
191,4.5000,-3.7500,0.000000
192,5.5000,-3.7500,0.000000
193,6.5000,-3.7500,0.000000
194,7.5000,-3.7500,0.000000
195,8.5000,-3.7500,0.000000
196,9.5000,-3.7500,0.000000
197,10.5000,-3.7500,0.000000
198,11.5000,-3.7500,0.000000
199,12.5000,-3.7500,0.000000
200,13.5000,-3.7500,0.000000
201,14.5000,-3.7500,0.000000
202,15.5000,-3.7500,0.000000
203,16.5000,-3.7500,0.000000
204,17.5000,-3.7500,0.000000
205,18.5000,-3.7500,0.000000
206,19.5000,-3.7500,0.000000
207,20.5000,-3.7500,0.000000
208,21.5000,-3.7500,0.000000
209,22.5000,-3.7500,0.000000
210,23.5000,-3.7500,0.000000
211,24.5000,-3.7500,0.000000
212,25.5000,-3.7500,0.000000
213,26.5000,-3.7500,0.000000
214,27.5000,-3.7500,0.000000
215,27.6545,-3.7720,-0.245437
216,26.9911,-3.7589,-0.785398
217,26.4623,-3.6112,-1.325359
218,26.2500,-2.5000,-1.570796
219,26.2500,-3.5000,-1.570796
220,26.2500,-4.5000,-1.570796
221,26.2500,-5.5000,-1.570796
222,26.2500,-6.5000,-1.570796
223,26.2500,-7.5000,-1.570796
224,26.2500,-8.5000,-1.570796
225,26.2500,-9.5000,-1.570796
226,26.2500,-10.5000,-1.570796
227,26.2500,-11.5000,-1.570796
228,26.2500,-12.5000,-1.570796
229,26.2500,-13.5000,-1.570796
230,26.2500,-14.5000,-1.570796
231,26.2500,-15.5000,-1.570796
232,26.2500,-16.5000,-1.570796
233,26.2500,-17.5000,-1.570796
234,26.2500,-18.5000,-1.570796
235,26.2500,-19.5000,-1.570796
236,26.2500,-20.5000,-1.570796
237,26.2500,-21.5000,-1.570796
238,26.2500,-22.5000,-1.570796
239,26.2280,-22.6545,-1.816233
240,26.2411,-21.9911,-2.356194
241,26.3888,-21.4623,-2.896156
242,27.5000,-21.2500,3.141593
243,26.5000,-21.2500,3.141593
244,25.5000,-21.2500,3.141593
245,24.5000,-21.2500,3.141593
246,23.5000,-21.2500,3.141593
247,22.5000,-21.2500,3.141593
248,21.5000,-21.2500,3.141593
249,20.5000,-21.2500,3.141593
250,19.5000,-21.2500,3.141593
251,18.5000,-21.2500,3.141593
252,17.5000,-21.2500,3.141593
253,16.5000,-21.2500,3.141593
254,15.5000,-21.2500,3.141593
255,14.5000,-21.2500,3.141593
256,13.5000,-21.2500,3.141593
257,12.5000,-21.2500,3.141593
258,11.5000,-21.2500,3.141593
259,10.5000,-21.2500,3.141593
260,9.5000,-21.2500,3.141593
261,8.5000,-21.2500,3.141593
262,7.5000,-21.2500,3.141593
263,6.5000,-21.2500,3.141593
264,5.5000,-21.2500,3.141593
265,4.5000,-21.2500,3.141593
266,3.5000,-21.2500,3.141593
267,2.5000,-21.2500,3.141593
268,1.5000,-21.2500,3.141593
269,0.5000,-21.2500,3.141593
270,-0.5000,-21.2500,3.141593
271,-1.5000,-21.2500,3.141593
272,-2.5000,-21.2500,3.141593
273,-3.5000,-21.2500,3.141593
274,-4.5000,-21.2500,3.141593
275,-5.5000,-21.2500,3.141593
276,-6.5000,-21.2500,3.141593
277,-7.5000,-21.2500,3.141593
278,-8.5000,-21.2500,3.141593
279,-9.5000,-21.2500,3.141593
280,-10.5000,-21.2500,3.141593
281,-11.5000,-21.2500,3.141593
282,-12.5000,-21.2500,3.141593
283,-13.5000,-21.2500,3.141593
284,-14.5000,-21.2500,3.141593
285,-15.5000,-21.2500,3.141593
286,-16.5000,-21.2500,3.141593
287,-17.5000,-21.2500,3.141593
288,-18.5000,-21.2500,3.141593
289,-19.5000,-21.2500,3.141593
290,-20.5000,-21.2500,3.141593
291,-21.5000,-21.2500,3.141593
292,-22.5000,-21.2500,3.141593
293,-23.5000,-21.2500,3.141593
294,-24.5000,-21.2500,3.141593
295,-25.5000,-21.2500,3.141593
296,-26.5000,-21.2500,3.141593
297,-27.5000,-21.2500,3.141593
298,-27.6545,-21.2280,2.896156
299,-26.9911,-21.2411,2.356194
300,-26.4623,-21.3888,1.816233
301,-26.2500,-22.5000,1.570796
302,-26.2500,-21.5000,1.570796
303,-26.2500,-20.5000,1.570796
304,-26.2500,-19.5000,1.570796
305,-26.2500,-18.5000,1.570796
306,-26.2500,-17.5000,1.570796
307,-26.2500,-16.5000,1.570796
308,-26.2500,-15.5000,1.570796
309,-26.2500,-14.5000,1.570796
310,-26.2500,-13.5000,1.570796
311,-26.2500,-12.5000,1.570796
312,-26.2500,-11.5000,1.570796
313,-26.2500,-10.5000,1.570796
314,-26.2500,-9.5000,1.570796
315,-26.2500,-8.5000,1.570796
316,-26.2500,-7.5000,1.570796
317,-26.2500,-6.5000,1.570796
318,-26.2500,-5.5000,1.570796
319,-26.2500,-4.5000,1.570796
320,-26.2500,-3.5000,1.570796
321,-26.2500,-2.5000,1.570796
322,-26.2280,-2.3455,1.325359
323,-26.2411,-3.0089,0.785398
324,-26.3888,-3.5377,0.245437
325,-27.5000,-3.7500,0.000000
326,-26.5000,-3.7500,0.000000
327,-25.5000,-3.7500,0.000000
328,-24.5000,-3.7500,0.000000
329,-23.5000,-3.7500,0.000000
330,-22.5000,-3.7500,0.000000
331,-21.5000,-3.7500,0.000000
332,-20.5000,-3.7500,0.000000
333,-19.5000,-3.7500,0.000000
334,-18.5000,-3.7500,0.000000
335,-17.5000,-3.7500,0.000000
336,-16.5000,-3.7500,0.000000
337,-15.5000,-3.7500,0.000000
338,-14.5000,-3.7500,0.000000
339,-13.5000,-3.7500,0.000000
340,-12.5000,-3.7500,0.000000
341,-11.3888,-3.5377,0.245437
342,-11.2411,-3.0089,0.785398
343,-11.2280,-2.3455,1.325359
344,-11.2500,-1.5000,1.570796
345,-11.2500,-0.5000,1.570796
346,-11.2500,0.5000,1.570796
347,-11.2500,1.5000,1.570796
348,-11.2500,2.5000,1.570796
349,-11.2500,3.5000,1.570796
350,-11.2500,4.5000,1.570796
351,-11.2500,5.5000,1.570796
352,-11.2500,6.5000,1.570796
353,-11.2500,7.5000,1.570796
354,-11.2500,8.5000,1.570796
355,-11.2500,9.5000,1.570796
356,-11.2500,10.5000,1.570796
357,-11.2500,11.5000,1.570796
358,-11.2500,12.5000,1.570796
359,-11.2500,13.5000,1.570796
360,-11.2500,14.5000,1.570796
361,-11.2500,15.5000,1.570796
362,-11.2500,16.5000,1.570796
363,-11.2500,17.5000,1.570796
364,-11.2500,18.5000,1.570796
365,-11.2500,19.5000,1.570796
366,-11.2500,20.5000,1.570796
367,-11.2500,21.5000,1.570796
368,-11.2500,22.5000,1.570796
369,-11.2500,23.5000,1.570796
370,-11.2500,24.5000,1.570796
371,-11.2500,25.5000,1.570796
372,-11.2500,26.5000,1.570796
373,-11.2500,27.5000,1.570796
374,-11.2500,28.5000,1.570796
375,-11.2500,29.5000,1.570796
376,-11.2500,30.5000,1.570796
377,-11.2500,31.5000,1.570796
378,-11.2500,32.5000,1.570796
379,-11.2280,32.6545,1.325359
380,-11.2411,31.9911,0.785398
381,-11.3888,31.4623,0.245437
382,-12.5000,31.2500,0.000000
383,-11.5000,31.2500,0.000000
384,-10.5000,31.2500,0.000000
385,-9.5000,31.2500,0.000000
386,-8.5000,31.2500,0.000000
387,-7.5000,31.2500,0.000000
388,-6.5000,31.2500,0.000000
389,-5.5000,31.2500,0.000000
390,-4.5000,31.2500,0.000000
391,-3.5000,31.2500,0.000000
392,-2.5000,31.2500,0.000000
393,-1.5000,31.2500,0.000000
394,-0.5000,31.2500,0.000000
395,0.5000,31.2500,0.000000
396,1.5000,31.2500,0.000000
397,2.5000,31.2500,0.000000
398,3.5000,31.2500,0.000000
399,4.5000,31.2500,0.000000
400,5.5000,31.2500,0.000000
401,6.5000,31.2500,0.000000
402,7.5000,31.2500,0.000000
403,8.5000,31.2500,0.000000
404,9.5000,31.2500,0.000000
405,10.5000,31.2500,0.000000
406,11.5000,31.2500,0.000000
407,12.5000,31.2500,0.000000
408,12.6545,31.2280,-0.245437
409,11.9911,31.2411,-0.785398
410,11.4623,31.3888,-1.325359
411,11.2500,32.5000,-1.570796
412,11.2500,31.5000,-1.570796
413,11.2500,30.5000,-1.570796
414,11.2500,29.5000,-1.570796
415,11.2500,28.5000,-1.570796
416,11.2500,27.5000,-1.570796
417,11.2500,26.5000,-1.570796
418,11.2500,25.5000,-1.570796
419,11.2500,24.5000,-1.570796
420,11.2500,23.5000,-1.570796
421,11.2500,22.5000,-1.570796
422,11.2500,21.5000,-1.570796
423,11.2500,20.5000,-1.570796
424,11.2500,19.5000,-1.570796
425,11.2500,18.5000,-1.570796
426,11.2500,17.5000,-1.570796
427,11.2500,16.5000,-1.570796
428,11.2500,15.5000,-1.570796
429,11.2500,14.5000,-1.570796
430,11.2500,13.5000,-1.570796
431,11.2500,12.5000,-1.570796
432,11.2500,11.5000,-1.570796
433,11.2500,10.5000,-1.570796
434,11.2500,9.5000,-1.570796
435,11.2500,8.5000,-1.570796
436,11.2500,7.5000,-1.570796
437,11.2500,6.5000,-1.570796
438,11.2500,5.5000,-1.570796
439,11.2500,4.5000,-1.570796
440,11.2500,3.5000,-1.570796
441,11.2500,2.5000,-1.570796
442,11.2500,1.5000,-1.570796
443,11.2500,0.5000,-1.570796
444,11.2500,-0.5000,-1.570796
445,11.2500,-1.5000,-1.570796
446,11.2500,-2.5000,-1.570796
447,11.2500,-3.5000,-1.570796
448,11.2500,-4.5000,-1.570796
449,11.2500,-5.5000,-1.570796
450,11.2500,-6.5000,-1.570796
451,11.2500,-7.5000,-1.570796
452,11.2500,-8.5000,-1.570796
453,11.2500,-9.5000,-1.570796
454,11.2500,-10.5000,-1.570796
455,11.2500,-11.5000,-1.570796
456,11.2500,-12.5000,-1.570796
457,11.2500,-13.5000,-1.570796
458,11.2500,-14.5000,-1.570796
459,11.2500,-15.5000,-1.570796
460,11.2500,-16.5000,-1.570796
461,11.2500,-17.5000,-1.570796
462,11.2500,-18.5000,-1.570796
463,11.2500,-19.5000,-1.570796
464,11.2500,-20.5000,-1.570796
465,11.2500,-21.5000,-1.570796
466,11.2500,-22.5000,-1.570796
467,11.2280,-22.6545,-1.816233
468,11.2411,-21.9911,-2.356194
469,11.3888,-21.4623,-2.896156
470,12.5000,-21.2500,3.141593
471,11.5000,-21.2500,3.141593
472,10.5000,-21.2500,3.141593
473,9.5000,-21.2500,3.141593
474,8.5000,-21.2500,3.141593
475,7.5000,-21.2500,3.141593
476,6.5000,-21.2500,3.141593
477,5.5000,-21.2500,3.141593
478,4.5000,-21.2500,3.141593
479,3.5000,-21.2500,3.141593
480,2.5000,-21.2500,3.141593
481,1.5000,-21.2500,3.141593
482,0.5000,-21.2500,3.141593
483,-0.5000,-21.2500,3.141593
484,-1.5000,-21.2500,3.141593
485,-2.5000,-21.2500,3.141593
486,-3.5000,-21.2500,3.141593
487,-4.5000,-21.2500,3.141593
488,-5.5000,-21.2500,3.141593
489,-6.5000,-21.2500,3.141593
490,-7.5000,-21.2500,3.141593
491,-8.5000,-21.2500,3.141593
492,-9.5000,-21.2500,3.141593
493,-10.5000,-21.2500,3.141593
494,-11.5000,-21.2500,3.141593
495,-12.5000,-21.2500,3.141593
496,-12.6545,-21.2280,2.896156
497,-11.9911,-21.2411,2.356194
498,-11.4623,-21.3888,1.816233
499,-11.2500,-22.5000,1.570796
500,-11.2500,-21.5000,1.570796
501,-11.2500,-20.5000,1.570796
502,-11.2500,-19.5000,1.570796
503,-11.2500,-18.5000,1.570796
504,-11.2500,-17.5000,1.570796
505,-11.2500,-16.5000,1.570796
506,-11.2500,-15.5000,1.570796
507,-11.2500,-14.5000,1.570796
508,-11.2500,-13.5000,1.570796
509,-11.2500,-12.5000,1.570796
510,-11.2500,-11.5000,1.570796
511,-11.2500,-10.5000,1.570796
512,-11.2500,-9.5000,1.570796
513,-11.2500,-8.5000,1.570796
514,-11.2500,-7.5000,1.570796
515,-11.2500,-6.5000,1.570796
516,-11.2500,-5.5000,1.570796
517,-11.2500,-4.5000,1.570796
518,-11.2500,-3.5000,1.570796
519,-11.2500,-2.5000,1.570796
520,-11.2280,-2.3455,1.325359
521,-11.2411,-3.0089,0.785398
522,-11.3888,-3.5377,0.245437
523,-12.5000,-3.7500,0.000000
524,-11.5000,-3.7500,0.000000
525,-10.5000,-3.7500,0.000000
526,-9.5000,-3.7500,0.000000
527,-8.5000,-3.7500,0.000000
528,-7.5000,-3.7500,0.000000
529,-6.5000,-3.7500,0.000000
530,-5.5000,-3.7500,0.000000
531,-4.5000,-3.7500,0.000000
532,-3.5000,-3.7500,0.000000
